ID,Title,Author,Price,Rating,Review_Count,URL,Image_URL
1,"To Kill A Shadow (Die verfluchten Lande, Band 1): Wenn das Licht erlischt - High-Fantasy-Romance trifft auf Forbidden Love und Found Family - mit Farbschnitt nur solange der Vorrat reicht",Katherine Quinn,"19,95",4.3,54.0,https://amazon.de/sspa/click?ie=UTF8&spc=MTo4MjQxMDI2MTc2OTU5NTM6MTczNjI2Njk0NzpzcF9waG9uZV9zZWFyY2hfYXRmOjMwMDQwOTA2MTUxMzEzMjo6MDo6&url=%2FKill-Shadow-verfluchten-Lande-High-Fantasy-Romance%2Fdp%2F3743220962%2Fref%3Dmp_s_a_1_1_sspa%3F__mk_de_DE%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dib%3DeyJ2IjoiMSJ9.NW2R2TZzeFG-Qe-pSYBgPa49bjCp1ntu3L9evvoI33ggY_drUVPkeosFTqNEiJSioDLcj6mwvG-Y-UAgzaYxYTqxfFHj0esB5uZWmLPdRwQrb3Xp4Pa-uPw-Z9l2uKd3ulDQJsw5jE_ulHcgnUPi3IyvPfuUwh9cQgIcVIU_JGVitcimp88cyIsff2NxVppmkK0xtVORON_DBWEbuRAp4w.lO-i76-gSYTkmayN4_0Zp_y2svvBgFsptCXcUL7zTYU%26dib_tag%3Dse%26keywords%3DFantasy%2BLiebesromane%26nsdOptOutParam%3Dtrue%26qid%3D1736266947%26refinements%3Dp_n_binding_browse-bin%253A492558011%257C492559011%257C9330699031%26rnid%3D492557011%26s%3Dbooks%26sr%3D1-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfYXRm%26psc%3D1,https://m.media-amazon.com/images/I/81YfwI0dV+L._AC_SX148_SY213_QL70_.jpg
2,Die Wortweberin - Schall und Schein: Mitreißende High Romantasy (Band 1),Elvira Zeißler,"20,00",4.7,3142.0,https://amazon.de/sspa/click?ie=UTF8&spc=MTo4MjQxMDI2MTc2OTU5NTM6MTczNjI2Njk0NzpzcF9waG9uZV9zZWFyY2hfYXRmOjMwMDM0NTUzMDc1NjMzMjo6MDo6&url=%2FDie-Wortweberin-Schall-Mitrei%25C3%259Fende-Romantasy%2Fdp%2F3989420321%2Fref%3Dmp_s_a_1_2_sspa%3F__mk_de_DE%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dib%3DeyJ2IjoiMSJ9.NW2R2TZzeFG-Qe-pSYBgPa49bjCp1ntu3L9evvoI33ggY_drUVPkeosFTqNEiJSioDLcj6mwvG-Y-UAgzaYxYTqxfFHj0esB5uZWmLPdRwQrb3Xp4Pa-uPw-Z9l2uKd3ulDQJsw5jE_ulHcgnUPi3IyvPfuUwh9cQgIcVIU_JGVitcimp88cyIsff2NxVppmkK0xtVORON_DBWEbuRAp4w.lO-i76-gSYTkmayN4_0Zp_y2svvBgFsptCXcUL7zTYU%26dib_tag%3Dse%26keywords%3DFantasy%2BLiebesromane%26nsdOptOutParam%3Dtrue%26qid%3D1736266947%26refinements%3Dp_n_binding_browse-bin%253A492558011%257C492559011%257C9330699031%26rnid%3D492557011%26s%3Dbooks%26sr%3D1-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfYXRm%26psc%3D1,https://m.media-amazon.com/images/I/61qmUilSnkL._AC_SX148_SY213_QL70_.jpg
3,Moonlight Academy. Feenzauber: Von der »Ravenhall Academy«-Autorin! Romantische Feen-Fantasy mit Academy-Setting,Julia Kuhn,"15,00",4.4,258.0,https://amazon.de/Moonlight-Academy-Feenzauber-Academy%C2%AB-Autorin-Academy-Setting/dp/3551585628/ref=mp_s_a_1_3?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.NW2R2TZzeFG-Qe-pSYBgPa49bjCp1ntu3L9evvoI33ggY_drUVPkeosFTqNEiJSioDLcj6mwvG-Y-UAgzaYxYTqxfFHj0esB5uZWmLPdRwQrb3Xp4Pa-uPw-Z9l2uKd3ulDQJsw5jE_ulHcgnUPi3IyvPfuUwh9cQgIcVIU_JGVitcimp88cyIsff2NxVppmkK0xtVORON_DBWEbuRAp4w.lO-i76-gSYTkmayN4_0Zp_y2svvBgFsptCXcUL7zTYU&dib_tag=se&keywords=Fantasy+Liebesromane&nsdOptOutParam=true&qid=1736266947&refinements=p_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-3,https://m.media-amazon.com/images/I/61Mdc8GcVOL._AC_SX148_SY213_QL70_.jpg
4,Die Wortweberin - Schall und Schein: Mitreißende High Romantasy (Band 1),Elvira Zeißler,"20,00",4.7,3142.0,https://amazon.de/Die-Wortweberin-Schall-Mitrei%C3%9Fende-Romantasy/dp/3989420321/ref=mp_s_a_1_4?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.NW2R2TZzeFG-Qe-pSYBgPa49bjCp1ntu3L9evvoI33ggY_drUVPkeosFTqNEiJSioDLcj6mwvG-Y-UAgzaYxYTqxfFHj0esB5uZWmLPdRwQrb3Xp4Pa-uPw-Z9l2uKd3ulDQJsw5jE_ulHcgnUPi3IyvPfuUwh9cQgIcVIU_JGVitcimp88cyIsff2NxVppmkK0xtVORON_DBWEbuRAp4w.lO-i76-gSYTkmayN4_0Zp_y2svvBgFsptCXcUL7zTYU&dib_tag=se&keywords=Fantasy+Liebesromane&nsdOptOutParam=true&qid=1736266947&refinements=p_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-4,https://m.media-amazon.com/images/I/61qmUilSnkL._AC_SX148_SY213_QL70_.jpg
5,Curse of the Dark: Royaler Fantasy Liebesroman über eine willensstarke junge Frau und einen Kronprinzen im Kampf gegen die Dunkelheit,Lilyan C. Wood,"12,99",4.4,19.0,https://amazon.de/Curse-Dark-Liebesroman-willensstarke-Kronprinzen/dp/3551305587/ref=mp_s_a_1_5?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.NW2R2TZzeFG-Qe-pSYBgPa49bjCp1ntu3L9evvoI33ggY_drUVPkeosFTqNEiJSioDLcj6mwvG-Y-UAgzaYxYTqxfFHj0esB5uZWmLPdRwQrb3Xp4Pa-uPw-Z9l2uKd3ulDQJsw5jE_ulHcgnUPi3IyvPfuUwh9cQgIcVIU_JGVitcimp88cyIsff2NxVppmkK0xtVORON_DBWEbuRAp4w.lO-i76-gSYTkmayN4_0Zp_y2svvBgFsptCXcUL7zTYU&dib_tag=se&keywords=Fantasy+Liebesromane&nsdOptOutParam=true&qid=1736266947&refinements=p_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-5,https://m.media-amazon.com/images/I/81N3I2hIJnL._AC_SX148_SY213_QL70_.jpg
6,Emma und das vergessene Buch: Tauche ein in diese fantastische Geschichte rund um die schönsten Liebesromane der Literaturgeschichte,Loewe Jugendbücher,"9,95",4.6,2212.0,https://amazon.de/Emma-vergessene-Buch-Mechthild-Gl%C3%A4ser/dp/3743203650/ref=mp_s_a_1_6?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.NW2R2TZzeFG-Qe-pSYBgPa49bjCp1ntu3L9evvoI33ggY_drUVPkeosFTqNEiJSioDLcj6mwvG-Y-UAgzaYxYTqxfFHj0esB5uZWmLPdRwQrb3Xp4Pa-uPw-Z9l2uKd3ulDQJsw5jE_ulHcgnUPi3IyvPfuUwh9cQgIcVIU_JGVitcimp88cyIsff2NxVppmkK0xtVORON_DBWEbuRAp4w.lO-i76-gSYTkmayN4_0Zp_y2svvBgFsptCXcUL7zTYU&dib_tag=se&keywords=Fantasy+Liebesromane&nsdOptOutParam=true&qid=1736266947&refinements=p_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-6,https://m.media-amazon.com/images/I/816AqY9RXlL._AC_SX148_SY213_QL70_.jpg
7,Warrior of Light 3: Gejagte der Finsternis: Fantasy Liebesroman über den Kampf in einer magischen Arena (3),Jessica Wismar,"12,99",4.7,56.0,https://amazon.de/Warrior-Light-Finsternis-Liebesroman-magischen/dp/355130517X/ref=mp_s_a_1_7?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.NW2R2TZzeFG-Qe-pSYBgPa49bjCp1ntu3L9evvoI33ggY_drUVPkeosFTqNEiJSioDLcj6mwvG-Y-UAgzaYxYTqxfFHj0esB5uZWmLPdRwQrb3Xp4Pa-uPw-Z9l2uKd3ulDQJsw5jE_ulHcgnUPi3IyvPfuUwh9cQgIcVIU_JGVitcimp88cyIsff2NxVppmkK0xtVORON_DBWEbuRAp4w.lO-i76-gSYTkmayN4_0Zp_y2svvBgFsptCXcUL7zTYU&dib_tag=se&keywords=Fantasy+Liebesromane&nsdOptOutParam=true&qid=1736266947&refinements=p_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-7,https://m.media-amazon.com/images/I/719DjW4jHNL._AC_SX148_SY213_QL70_.jpg
8,Feral Moon 2: Der schwarze Prinz: Ein Fantasy-Liebesroman über Gestaltwandler und unbezähmbare Kreaturen (2),Asuka Lionera,"12,99",4.7,553.0,https://amazon.de/Feral-Moon-2-schwarze-Prinz/dp/3551301573/ref=mp_s_a_1_8?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.NW2R2TZzeFG-Qe-pSYBgPa49bjCp1ntu3L9evvoI33ggY_drUVPkeosFTqNEiJSioDLcj6mwvG-Y-UAgzaYxYTqxfFHj0esB5uZWmLPdRwQrb3Xp4Pa-uPw-Z9l2uKd3ulDQJsw5jE_ulHcgnUPi3IyvPfuUwh9cQgIcVIU_JGVitcimp88cyIsff2NxVppmkK0xtVORON_DBWEbuRAp4w.lO-i76-gSYTkmayN4_0Zp_y2svvBgFsptCXcUL7zTYU&dib_tag=se&keywords=Fantasy+Liebesromane&nsdOptOutParam=true&qid=1736266947&refinements=p_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-8,https://m.media-amazon.com/images/I/71pC3+JHovL._AC_SX148_SY213_QL70_.jpg
9,Midnight Princess 1: Wie die Nacht so hell: Magischer Fantasy-Liebesroman um eine verfluchte Liebe (1),Asuka Lionera,"15,00",4.5,654.0,https://amazon.de/Midnight-Princess-Magischer-Fantasy-Liebesroman-verfluchte/dp/3522507568/ref=mp_s_a_1_9?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.NW2R2TZzeFG-Qe-pSYBgPa49bjCp1ntu3L9evvoI33ggY_drUVPkeosFTqNEiJSioDLcj6mwvG-Y-UAgzaYxYTqxfFHj0esB5uZWmLPdRwQrb3Xp4Pa-uPw-Z9l2uKd3ulDQJsw5jE_ulHcgnUPi3IyvPfuUwh9cQgIcVIU_JGVitcimp88cyIsff2NxVppmkK0xtVORON_DBWEbuRAp4w.lO-i76-gSYTkmayN4_0Zp_y2svvBgFsptCXcUL7zTYU&dib_tag=se&keywords=Fantasy+Liebesromane&nsdOptOutParam=true&qid=1736266947&refinements=p_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-9,https://m.media-amazon.com/images/I/71r2Ti5jmgL._AC_SX148_SY213_QL70_.jpg
10,Midnight Princess 2: Wie der Tag so dunkel: Magischer Fantasy-Liebesroman um eine verfluchte Liebe | Hochwertige Schmuckausgabe! (2),Asuka Lionera,"18,00",4.4,559.0,https://amazon.de/Midnight-Princess-Fantasy-Liebesroman-Hochwertige-Schmuckausgabe/dp/3522507754/ref=mp_s_a_1_10?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.NW2R2TZzeFG-Qe-pSYBgPa49bjCp1ntu3L9evvoI33ggY_drUVPkeosFTqNEiJSioDLcj6mwvG-Y-UAgzaYxYTqxfFHj0esB5uZWmLPdRwQrb3Xp4Pa-uPw-Z9l2uKd3ulDQJsw5jE_ulHcgnUPi3IyvPfuUwh9cQgIcVIU_JGVitcimp88cyIsff2NxVppmkK0xtVORON_DBWEbuRAp4w.lO-i76-gSYTkmayN4_0Zp_y2svvBgFsptCXcUL7zTYU&dib_tag=se&keywords=Fantasy+Liebesromane&nsdOptOutParam=true&qid=1736266947&refinements=p_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-10,https://m.media-amazon.com/images/I/71PhtFOFB6L._AC_SX148_SY213_QL70_.jpg
