ID,Title,Author,Price,Rating,Review_Count,URL,Image_URL,Release Date
1,Moonlight Academy. Feenzauber: Von der »Ravenhall Academy«-Autorin! Romantische Feen-Fantasy mit Academy-Setting,Julia Kuhn,"15,00",4.4,258,https://amazon.de/Moonlight-Academy-Feenzauber-Academy%C2%AB-Autorin-Academy-Setting/dp/3551585628/ref=mp_s_a_1_1?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.NW2R2TZzeFG-Qe-pSYBgPa49bjCp1ntu3L9evvoI33gF_VI_WULfGUmGFDzwWw4iTloJ_lQswYhuFlRugsXdkqUDTH1miifM3iAHZKORbEJOvjOfkh7chnKQX2qlArRL9S58TPTFAgHTLlg9FbG8yioSdvpqfevIPTVnYD_EZ5vXqU-i4u6r-6WroBZinWB0C-olo8XEvLGsQogxM2AjHQ.VBHwJh8N3VZaokEhdsbtdr-Zajrcd1Cv9UT8d-eud68&dib_tag=se&keywords=Fantasy+Liebesromane&nsdOptOutParam=true&qid=1736266929&refinements=p_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-1,https://m.media-amazon.com/images/I/61Mdc8GcVOL._AC_SX148_SY213_QL70_.jpg,27. Juni 2024
2,Die Wortweberin - Schall und Schein: Mitreißende High Romantasy (Band 1),Elvira Zeißler,"20,00",4.7,3142,https://amazon.de/Die-Wortweberin-Schall-Mitrei%C3%9Fende-Romantasy/dp/3989420321/ref=mp_s_a_1_2?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.NW2R2TZzeFG-Qe-pSYBgPa49bjCp1ntu3L9evvoI33gF_VI_WULfGUmGFDzwWw4iTloJ_lQswYhuFlRugsXdkqUDTH1miifM3iAHZKORbEJOvjOfkh7chnKQX2qlArRL9S58TPTFAgHTLlg9FbG8yioSdvpqfevIPTVnYD_EZ5vXqU-i4u6r-6WroBZinWB0C-olo8XEvLGsQogxM2AjHQ.VBHwJh8N3VZaokEhdsbtdr-Zajrcd1Cv9UT8d-eud68&dib_tag=se&keywords=Fantasy+Liebesromane&nsdOptOutParam=true&qid=1736266929&refinements=p_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-2,https://m.media-amazon.com/images/I/61qmUilSnkL._AC_SX148_SY213_QL70_.jpg,4. März 2024
3,Curse of the Dark: Royaler Fantasy Liebesroman über eine willensstarke junge Frau und einen Kronprinzen im Kampf gegen die Dunkelheit,Lilyan C. Wood,"12,99",4.4,19,https://amazon.de/Curse-Dark-Liebesroman-willensstarke-Kronprinzen/dp/3551305587/ref=mp_s_a_1_3?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.NW2R2TZzeFG-Qe-pSYBgPa49bjCp1ntu3L9evvoI33gF_VI_WULfGUmGFDzwWw4iTloJ_lQswYhuFlRugsXdkqUDTH1miifM3iAHZKORbEJOvjOfkh7chnKQX2qlArRL9S58TPTFAgHTLlg9FbG8yioSdvpqfevIPTVnYD_EZ5vXqU-i4u6r-6WroBZinWB0C-olo8XEvLGsQogxM2AjHQ.VBHwJh8N3VZaokEhdsbtdr-Zajrcd1Cv9UT8d-eud68&dib_tag=se&keywords=Fantasy+Liebesromane&nsdOptOutParam=true&qid=1736266929&refinements=p_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-3,https://m.media-amazon.com/images/I/81N3I2hIJnL._AC_SX148_SY213_QL70_.jpg,26. Februar 2024
4,Ravenhall Academy 2: Erwachte Magie: Romantische Hexen Fantasy mit Academy-Setting (2),Julia Kuhn,"15,00",4.4,769,https://amazon.de/Ravenhall-Academy-Romantische-Academy-Setting-Farbschnitt/dp/3551304688/ref=mp_s_a_1_4?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.NW2R2TZzeFG-Qe-pSYBgPa49bjCp1ntu3L9evvoI33gF_VI_WULfGUmGFDzwWw4iTloJ_lQswYhuFlRugsXdkqUDTH1miifM3iAHZKORbEJOvjOfkh7chnKQX2qlArRL9S58TPTFAgHTLlg9FbG8yioSdvpqfevIPTVnYD_EZ5vXqU-i4u6r-6WroBZinWB0C-olo8XEvLGsQogxM2AjHQ.VBHwJh8N3VZaokEhdsbtdr-Zajrcd1Cv9UT8d-eud68&dib_tag=se&keywords=Fantasy+Liebesromane&nsdOptOutParam=true&qid=1736266929&refinements=p_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-4,https://m.media-amazon.com/images/I/7197Ru4uDHL._AC_SX148_SY213_QL70_.jpg,20. Oktober 2023
5,Warrior of Light 3: Gejagte der Finsternis: Fantasy Liebesroman über den Kampf in einer magischen Arena (3),Jessica Wismar,"12,99",4.7,56,https://amazon.de/Warrior-Light-Finsternis-Liebesroman-magischen/dp/355130517X/ref=mp_s_a_1_5?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.NW2R2TZzeFG-Qe-pSYBgPa49bjCp1ntu3L9evvoI33gF_VI_WULfGUmGFDzwWw4iTloJ_lQswYhuFlRugsXdkqUDTH1miifM3iAHZKORbEJOvjOfkh7chnKQX2qlArRL9S58TPTFAgHTLlg9FbG8yioSdvpqfevIPTVnYD_EZ5vXqU-i4u6r-6WroBZinWB0C-olo8XEvLGsQogxM2AjHQ.VBHwJh8N3VZaokEhdsbtdr-Zajrcd1Cv9UT8d-eud68&dib_tag=se&keywords=Fantasy+Liebesromane&nsdOptOutParam=true&qid=1736266929&refinements=p_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-5,https://m.media-amazon.com/images/I/719DjW4jHNL._AC_SX148_SY213_QL70_.jpg,28. September 2023
6,Court of Shadows: Shadow Fae Buch 1 | Mit wunderschönem limitierten Farbschnitt,Von Morgen Verlag,"15,99",4.6,441,https://amazon.de/Court-Shadows-wundersch%C3%B6nem-limitierten-Farbschnitt/dp/398942467X/ref=mp_s_a_1_6?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.NW2R2TZzeFG-Qe-pSYBgPa49bjCp1ntu3L9evvoI33gF_VI_WULfGUmGFDzwWw4iTloJ_lQswYhuFlRugsXdkqUDTH1miifM3iAHZKORbEJOvjOfkh7chnKQX2qlArRL9S58TPTFAgHTLlg9FbG8yioSdvpqfevIPTVnYD_EZ5vXqU-i4u6r-6WroBZinWB0C-olo8XEvLGsQogxM2AjHQ.VBHwJh8N3VZaokEhdsbtdr-Zajrcd1Cv9UT8d-eud68&dib_tag=se&keywords=Fantasy+Liebesromane&nsdOptOutParam=true&qid=1736266929&refinements=p_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-6,https://m.media-amazon.com/images/I/81JN1Qzp4OL._AC_SX148_SY213_QL70_.jpg,16. Oktober 2024
7,Feral Moon 2: Der schwarze Prinz: Ein Fantasy-Liebesroman über Gestaltwandler und unbezähmbare Kreaturen (2),Asuka Lionera,"12,99",4.7,553,https://amazon.de/Feral-Moon-2-schwarze-Prinz/dp/3551301573/ref=mp_s_a_1_7?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.NW2R2TZzeFG-Qe-pSYBgPa49bjCp1ntu3L9evvoI33gF_VI_WULfGUmGFDzwWw4iTloJ_lQswYhuFlRugsXdkqUDTH1miifM3iAHZKORbEJOvjOfkh7chnKQX2qlArRL9S58TPTFAgHTLlg9FbG8yioSdvpqfevIPTVnYD_EZ5vXqU-i4u6r-6WroBZinWB0C-olo8XEvLGsQogxM2AjHQ.VBHwJh8N3VZaokEhdsbtdr-Zajrcd1Cv9UT8d-eud68&dib_tag=se&keywords=Fantasy+Liebesromane&nsdOptOutParam=true&qid=1736266929&refinements=p_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-7,https://m.media-amazon.com/images/I/71pC3+JHovL._AC_SX148_SY213_QL70_.jpg,26. März 2019
8,"Ever & After, Band 2: Die dunkle Hochzeit (SPIEGEL-Bestseller | Limitierte Auflage mit Farbschnitt | Das perfekte Geschenk zu Weihnachten)",Stella Tack,"18,99",4.6,199,https://amazon.de/Ever-After-Band-M%C3%A4rchen-Fantasy-SPIEGEL-Bestsellerautorin/dp/3473586145/ref=mp_s_a_1_8?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.NW2R2TZzeFG-Qe-pSYBgPa49bjCp1ntu3L9evvoI33gF_VI_WULfGUmGFDzwWw4iTloJ_lQswYhuFlRugsXdkqUDTH1miifM3iAHZKORbEJOvjOfkh7chnKQX2qlArRL9S58TPTFAgHTLlg9FbG8yioSdvpqfevIPTVnYD_EZ5vXqU-i4u6r-6WroBZinWB0C-olo8XEvLGsQogxM2AjHQ.VBHwJh8N3VZaokEhdsbtdr-Zajrcd1Cv9UT8d-eud68&dib_tag=se&keywords=Fantasy+Liebesromane&nsdOptOutParam=true&qid=1736266929&refinements=p_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-8,https://m.media-amazon.com/images/I/71AMFxDfsRL._AC_SX148_SY213_QL70_.jpg,28. November 2024
9,"Ever & After, Band 3: Die letzte Stunde (Knisternde Märchen-Fantasy der SPIEGEL-Bestsellerautorin Stella Tack - Limitierte Auflage mit Farbschnitt)",Stella Tack,"18,99",,,https://amazon.de/Ever-After-Band-M%C3%A4rchen-Fantasy-SPIEGEL-Bestsellerautorin/dp/3473586811/ref=mp_s_a_1_9?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.NW2R2TZzeFG-Qe-pSYBgPa49bjCp1ntu3L9evvoI33gF_VI_WULfGUmGFDzwWw4iTloJ_lQswYhuFlRugsXdkqUDTH1miifM3iAHZKORbEJOvjOfkh7chnKQX2qlArRL9S58TPTFAgHTLlg9FbG8yioSdvpqfevIPTVnYD_EZ5vXqU-i4u6r-6WroBZinWB0C-olo8XEvLGsQogxM2AjHQ.VBHwJh8N3VZaokEhdsbtdr-Zajrcd1Cv9UT8d-eud68&dib_tag=se&keywords=Fantasy+Liebesromane&nsdOptOutParam=true&qid=1736266929&refinements=p_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-9,https://m.media-amazon.com/images/I/717QvRTre5L._AC_SX148_SY213_QL70_.jpg,1. Oktober 2025
10,"Ever & After, Band 1: Der schlafende Prinz (Knisternde Märchen-Fantasy der SPIEGEL-Bestsellerautorin Stella Tack - Limitierte Auflage mit Farbschnitt)",Stella Tack,"16,99",4.6,634,https://amazon.de/Ever-After-Band-M%C3%A4rchen-Fantasy-SPIEGEL-Bestsellerautorin/dp/3473586137/ref=mp_s_a_1_10?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.NW2R2TZzeFG-Qe-pSYBgPa49bjCp1ntu3L9evvoI33gF_VI_WULfGUmGFDzwWw4iTloJ_lQswYhuFlRugsXdkqUDTH1miifM3iAHZKORbEJOvjOfkh7chnKQX2qlArRL9S58TPTFAgHTLlg9FbG8yioSdvpqfevIPTVnYD_EZ5vXqU-i4u6r-6WroBZinWB0C-olo8XEvLGsQogxM2AjHQ.VBHwJh8N3VZaokEhdsbtdr-Zajrcd1Cv9UT8d-eud68&dib_tag=se&keywords=Fantasy+Liebesromane&nsdOptOutParam=true&qid=1736266929&refinements=p_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-10,https://m.media-amazon.com/images/I/7182GiID-6L._AC_SX148_SY213_QL70_.jpg,27. September 2023
