ID,Title,Author,Price,Rating,Review_Count,URL,Image_URL,Release Date
1,"Onyx Storm – Flammengeküsst: Roman | Deluxe-Ausgabe mit atemberaubendem Farbschnitt | Die heißersehnte Fortsetzung von ›Fourth Wing‹ und ›Iron Flame‹ (Flammengeküsst-Reihe, Band 3)",Rebecca Yarros,"32,00",,,https://amazon.de/Onyx-Storm-Flammengek%C3%BCsst-atemberaubendem-Flammengek%C3%BCsst-Reihe/dp/3423284498/ref=mp_s_a_1_1?dib=eyJ2IjoiMSJ9.xVJj3Ll8lPGlT_artJODiUOBJUXIXq4HrlPcm11wkJfZzLk-a90EBJrYX7qqdCTnr3Zt1cOXh6VuxvLQ7pRWblbmBXIdhdHc6WQ5Vfs9B4am4VFgRHTYm6bo4SZfeR7-0-XoT5W4WEcYzzGLHcDA2P2wOdQ26woDKmuomCZWOSDh8c3bpyvVHMRJ8P7rg9Sft4zCDdWOLAX98xcrwTO5qA.0VyCHUy4pC9daJ0WH5-i08sxQg9-LE3z2glSq-tDQVo&dib_tag=se&nsdOptOutParam=true&qid=1736270086&refinements=p_n_feature_three_browse-bin%3A15425222031%2Cp_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-1&xpid=BapcAeWRXzoze,https://m.media-amazon.com/images/I/71PitOfNr4L._AC_SX148_SY213_QL70_.jpg,21. Januar 2025
2,Vergissmeinnicht - Was die Welt zusammenhält: Das Finale der gefeierten Fantasy-Trilogie – das perfekte Geschenk mit leuchtendem Farbschnitt,Kerstin Gier,"24,00",4.7,484,https://amazon.de/Vergissmeinnicht-zusammenh%C3%A4lt-Fantasy-Trilogie-leuchtendem-Farbschnitt/dp/3949465197/ref=mp_s_a_1_2?dib=eyJ2IjoiMSJ9.xVJj3Ll8lPGlT_artJODiUOBJUXIXq4HrlPcm11wkJfZzLk-a90EBJrYX7qqdCTnr3Zt1cOXh6VuxvLQ7pRWblbmBXIdhdHc6WQ5Vfs9B4am4VFgRHTYm6bo4SZfeR7-0-XoT5W4WEcYzzGLHcDA2P2wOdQ26woDKmuomCZWOSDh8c3bpyvVHMRJ8P7rg9Sft4zCDdWOLAX98xcrwTO5qA.0VyCHUy4pC9daJ0WH5-i08sxQg9-LE3z2glSq-tDQVo&dib_tag=se&nsdOptOutParam=true&qid=1736270086&refinements=p_n_feature_three_browse-bin%3A15425222031%2Cp_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-2&xpid=BapcAeWRXzoze,https://m.media-amazon.com/images/I/91B5mSD07UL._AC_SX148_SY213_QL70_.jpg,27. November 2024
3,"Fourth Wing – Flammengeküsst: Roman | Deluxe-Ausgabe mit atemberaubendem Farbschnitt | »Unwiderstehliches Abenteuer trifft epische Liebesgeschichte!« Tracy Wolff (Flammengeküsst-Reihe, Band 1)",Rebecca Yarros,"28,00",4.8,10569,https://amazon.de/Fourth-Wing-%C2%BBUnwiderstehliches-Liebesgeschichte-Flammengek%C3%BCsst-Reihe/dp/3423284129/ref=mp_s_a_1_3?dib=eyJ2IjoiMSJ9.xVJj3Ll8lPGlT_artJODiUOBJUXIXq4HrlPcm11wkJfZzLk-a90EBJrYX7qqdCTnr3Zt1cOXh6VuxvLQ7pRWblbmBXIdhdHc6WQ5Vfs9B4am4VFgRHTYm6bo4SZfeR7-0-XoT5W4WEcYzzGLHcDA2P2wOdQ26woDKmuomCZWOSDh8c3bpyvVHMRJ8P7rg9Sft4zCDdWOLAX98xcrwTO5qA.0VyCHUy4pC9daJ0WH5-i08sxQg9-LE3z2glSq-tDQVo&dib_tag=se&nsdOptOutParam=true&qid=1736270086&refinements=p_n_feature_three_browse-bin%3A15425222031%2Cp_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-3&xpid=BapcAeWRXzoze,https://m.media-amazon.com/images/I/818wHm3EPQL._AC_SX148_SY213_QL70_.jpg,1. Dezember 2023
4,"Iron Flame – Flammengeküsst: Roman | Deluxe-Ausgabe mit atemberaubendem Farbschnitt | Die heißersehnte Fortsetzung des Fantasy-Erfolgs ›Fourth Wing‹ (Flammengeküsst-Reihe, Band 2)",Rebecca Yarros,"32,00",4.7,7219,https://amazon.de/Iron-Flame-atemberaubendem-Fantasy-Erfolgs-Flammengek%C3%BCsst-Reihe/dp/3423283831/ref=mp_s_a_1_4?dib=eyJ2IjoiMSJ9.xVJj3Ll8lPGlT_artJODiUOBJUXIXq4HrlPcm11wkJfZzLk-a90EBJrYX7qqdCTnr3Zt1cOXh6VuxvLQ7pRWblbmBXIdhdHc6WQ5Vfs9B4am4VFgRHTYm6bo4SZfeR7-0-XoT5W4WEcYzzGLHcDA2P2wOdQ26woDKmuomCZWOSDh8c3bpyvVHMRJ8P7rg9Sft4zCDdWOLAX98xcrwTO5qA.0VyCHUy4pC9daJ0WH5-i08sxQg9-LE3z2glSq-tDQVo&dib_tag=se&nsdOptOutParam=true&qid=1736270086&refinements=p_n_feature_three_browse-bin%3A15425222031%2Cp_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-4&xpid=BapcAeWRXzoze,https://m.media-amazon.com/images/I/81wi70yuyNL._AC_SX148_SY213_QL70_.jpg,1. Dezember 2023
5,"Onyx Storm – Flammengeküsst: Roman | Die heißersehnte Fortsetzung von ›Fourth Wing‹ und ›Iron Flame‹ in wunderschön veredelter Ausstattung (Flammengeküsst-Reihe, Band 3)",Rebecca Yarros,"28,00",,,https://amazon.de/Onyx-Storm-Flammengek%C3%BCsst-hei%C3%9Fersehnte-Flammengek%C3%BCsst-Reihe/dp/3423284501/ref=mp_s_a_1_5?dib=eyJ2IjoiMSJ9.xVJj3Ll8lPGlT_artJODiUOBJUXIXq4HrlPcm11wkJfZzLk-a90EBJrYX7qqdCTnr3Zt1cOXh6VuxvLQ7pRWblbmBXIdhdHc6WQ5Vfs9B4am4VFgRHTYm6bo4SZfeR7-0-XoT5W4WEcYzzGLHcDA2P2wOdQ26woDKmuomCZWOSDh8c3bpyvVHMRJ8P7rg9Sft4zCDdWOLAX98xcrwTO5qA.0VyCHUy4pC9daJ0WH5-i08sxQg9-LE3z2glSq-tDQVo&dib_tag=se&nsdOptOutParam=true&qid=1736270086&refinements=p_n_feature_three_browse-bin%3A15425222031%2Cp_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-5&xpid=BapcAeWRXzoze,https://m.media-amazon.com/images/I/81MzfBNyqwL._AC_SX148_SY213_QL70_.jpg,21. Januar 2025
6,"Das Reich der sieben Höfe – Dornen und Rosen: Roman | Romantische Fantasy der Bestsellerautorin (Das Reich der sieben Höfe-Reihe, Band 1)",Sarah J. Maas,"14,00",4.7,7941,https://amazon.de/Das-Reich-sieben-H%C3%B6fe-Dornen/dp/3423718498/ref=mp_s_a_1_6?dib=eyJ2IjoiMSJ9.xVJj3Ll8lPGlT_artJODiUOBJUXIXq4HrlPcm11wkJfZzLk-a90EBJrYX7qqdCTnr3Zt1cOXh6VuxvLQ7pRWblbmBXIdhdHc6WQ5Vfs9B4am4VFgRHTYm6bo4SZfeR7-0-XoT5W4WEcYzzGLHcDA2P2wOdQ26woDKmuomCZWOSDh8c3bpyvVHMRJ8P7rg9Sft4zCDdWOLAX98xcrwTO5qA.0VyCHUy4pC9daJ0WH5-i08sxQg9-LE3z2glSq-tDQVo&dib_tag=se&nsdOptOutParam=true&qid=1736270086&refinements=p_n_feature_three_browse-bin%3A15425222031%2Cp_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-6&xpid=BapcAeWRXzoze,https://m.media-amazon.com/images/I/91OtIXq+JOL._AC_SX148_SY213_QL70_.jpg,22. Mai 2020
7,"Powerless - Das Spiel: Roman - Der Auftakt der epischen Enemies-to-Lovers-Romantasy von BookTok-Sensation Lauren Roberts! Mit Farbschnitt in limitierter Auflage! (Die Powerless-Trilogie, Band 1)",Lauren Roberts,"18,00",4.6,1487,https://amazon.de/Powerless-Enemies-Lovers-Romantasy-BookTok-Sensation-Powerless-Trilogie/dp/3764533188/ref=mp_s_a_1_7?dib=eyJ2IjoiMSJ9.xVJj3Ll8lPGlT_artJODiUOBJUXIXq4HrlPcm11wkJfZzLk-a90EBJrYX7qqdCTnr3Zt1cOXh6VuxvLQ7pRWblbmBXIdhdHc6WQ5Vfs9B4am4VFgRHTYm6bo4SZfeR7-0-XoT5W4WEcYzzGLHcDA2P2wOdQ26woDKmuomCZWOSDh8c3bpyvVHMRJ8P7rg9Sft4zCDdWOLAX98xcrwTO5qA.0VyCHUy4pC9daJ0WH5-i08sxQg9-LE3z2glSq-tDQVo&dib_tag=se&nsdOptOutParam=true&qid=1736270086&refinements=p_n_feature_three_browse-bin%3A15425222031%2Cp_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-7&xpid=BapcAeWRXzoze,https://m.media-amazon.com/images/I/81R+Y6BuBML._AC_SX148_SY213_QL70_.jpg,14. August 2024
8,"Das Reich der Sieben Höfe – Flammen und Finsternis: Roman | Romantische Fantasy der Bestsellerautorin (Das Reich der sieben Höfe-Reihe, Band 2)",Sarah J. Maas,"15,00",4.8,6728,https://amazon.de/Das-Reich-Sieben-H%C3%B6fe-Finsternis/dp/342371879X/ref=mp_s_a_1_8?dib=eyJ2IjoiMSJ9.xVJj3Ll8lPGlT_artJODiUOBJUXIXq4HrlPcm11wkJfZzLk-a90EBJrYX7qqdCTnr3Zt1cOXh6VuxvLQ7pRWblbmBXIdhdHc6WQ5Vfs9B4am4VFgRHTYm6bo4SZfeR7-0-XoT5W4WEcYzzGLHcDA2P2wOdQ26woDKmuomCZWOSDh8c3bpyvVHMRJ8P7rg9Sft4zCDdWOLAX98xcrwTO5qA.0VyCHUy4pC9daJ0WH5-i08sxQg9-LE3z2glSq-tDQVo&dib_tag=se&nsdOptOutParam=true&qid=1736270086&refinements=p_n_feature_three_browse-bin%3A15425222031%2Cp_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-8&xpid=BapcAeWRXzoze,https://m.media-amazon.com/images/I/91bA5xnM7BL._AC_SX148_SY213_QL70_.jpg,13. November 2020
9,"Das Reich der sieben Höfe - Sterne und Schwerter: Roman | Romantische Fantasy der Bestsellerautorin (Das Reich der sieben Höfe-Reihe, Band 3)",Sarah J. Maas,"15,00",4.8,5470,https://amazon.de/Das-Reich-sieben-H%C3%B6fe-H%C3%B6fe-Reihe/dp/3423718889/ref=mp_s_a_1_9?dib=eyJ2IjoiMSJ9.xVJj3Ll8lPGlT_artJODiUOBJUXIXq4HrlPcm11wkJfZzLk-a90EBJrYX7qqdCTnr3Zt1cOXh6VuxvLQ7pRWblbmBXIdhdHc6WQ5Vfs9B4am4VFgRHTYm6bo4SZfeR7-0-XoT5W4WEcYzzGLHcDA2P2wOdQ26woDKmuomCZWOSDh8c3bpyvVHMRJ8P7rg9Sft4zCDdWOLAX98xcrwTO5qA.0VyCHUy4pC9daJ0WH5-i08sxQg9-LE3z2glSq-tDQVo&dib_tag=se&nsdOptOutParam=true&qid=1736270086&refinements=p_n_feature_three_browse-bin%3A15425222031%2Cp_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-9&xpid=BapcAeWRXzoze,https://m.media-amazon.com/images/I/91DkfkjO9OL._AC_SX148_SY213_QL70_.jpg,13. November 2020
10,"Quicksilver - Tochter des Silbers. Gefangener der Schatten: Roman. *** Dark and spicy Enemies-to-Lovers Romantasy in luxuriös veredelter ... Farbschnitt! (Fae & Alchemy-Reihe, Band 1)",Callie Hart,"24,00",,,https://amazon.de/Quicksilver-Enemies-Lovers-Farbschnitt-Alchemy-Reihe/dp/3328604200/ref=mp_s_a_1_10?dib=eyJ2IjoiMSJ9.xVJj3Ll8lPGlT_artJODiUOBJUXIXq4HrlPcm11wkJfZzLk-a90EBJrYX7qqdCTnr3Zt1cOXh6VuxvLQ7pRWblbmBXIdhdHc6WQ5Vfs9B4am4VFgRHTYm6bo4SZfeR7-0-XoT5W4WEcYzzGLHcDA2P2wOdQ26woDKmuomCZWOSDh8c3bpyvVHMRJ8P7rg9Sft4zCDdWOLAX98xcrwTO5qA.0VyCHUy4pC9daJ0WH5-i08sxQg9-LE3z2glSq-tDQVo&dib_tag=se&nsdOptOutParam=true&qid=1736270086&refinements=p_n_feature_three_browse-bin%3A15425222031%2Cp_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-10&xpid=BapcAeWRXzoze,https://m.media-amazon.com/images/I/81-0QTWRuXL._AC_SX148_SY213_QL70_.jpg,19. März 2025
11,The Songbird and the Heart of Stone (Crowns of Nyaxia 3): Dramatische Romantasy über Liebe und Verrat zwischen Sterblichen und Göttern,Carissa Broadbent,"22,00",4.4,61,https://amazon.de/Songbird-Heart-Stone-Crowns-Nyaxia/dp/3551585539/ref=mp_s_a_1_11?dib=eyJ2IjoiMSJ9.xVJj3Ll8lPGlT_artJODiUOBJUXIXq4HrlPcm11wkJfZzLk-a90EBJrYX7qqdCTnr3Zt1cOXh6VuxvLQ7pRWblbmBXIdhdHc6WQ5Vfs9B4am4VFgRHTYm6bo4SZfeR7-0-XoT5W4WEcYzzGLHcDA2P2wOdQ26woDKmuomCZWOSDh8c3bpyvVHMRJ8P7rg9Sft4zCDdWOLAX98xcrwTO5qA.0VyCHUy4pC9daJ0WH5-i08sxQg9-LE3z2glSq-tDQVo&dib_tag=se&nsdOptOutParam=true&qid=1736270086&refinements=p_n_feature_three_browse-bin%3A15425222031%2Cp_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-11&xpid=BapcAeWRXzoze,https://m.media-amazon.com/images/I/71uHhB2W6AL._AC_SX148_SY213_QL70_.jpg,13. Februar 2025
12,"Powerless - Die Flucht: Roman - Die Fortsetzung der epischen Enemies-to-Lovers-Romantasy von BookTok-Sensation Lauren Roberts! Mit Farbschnitt in limitierter Auflage! (Die Powerless-Trilogie, Band 2)",Lauren Roberts,"18,00",4.6,664,https://amazon.de/Powerless-Enemies-Lovers-Romantasy-BookTok-Sensation-Powerless-Trilogie/dp/3764533242/ref=mp_s_a_1_12?dib=eyJ2IjoiMSJ9.xVJj3Ll8lPGlT_artJODiUOBJUXIXq4HrlPcm11wkJfZzLk-a90EBJrYX7qqdCTnr3Zt1cOXh6VuxvLQ7pRWblbmBXIdhdHc6WQ5Vfs9B4am4VFgRHTYm6bo4SZfeR7-0-XoT5W4WEcYzzGLHcDA2P2wOdQ26woDKmuomCZWOSDh8c3bpyvVHMRJ8P7rg9Sft4zCDdWOLAX98xcrwTO5qA.0VyCHUy4pC9daJ0WH5-i08sxQg9-LE3z2glSq-tDQVo&dib_tag=se&nsdOptOutParam=true&qid=1736270086&refinements=p_n_feature_three_browse-bin%3A15425222031%2Cp_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-12&xpid=BapcAeWRXzoze,https://m.media-amazon.com/images/I/81z1CTghqRL._AC_SX148_SY213_QL70_.jpg,16. Oktober 2024
13,Asrai - Das Portal der Drachen: Epischer Fantasy-Liebesroman trifft auf Drachen und Magie | mit Farbschnitt-Garantie,Mars Liane,"16,90",4.6,1213,https://amazon.de/Asrai-Portal-Drachen-Epischer-Fantasy-Liebesroman/dp/3959915322/ref=mp_s_a_1_13?dib=eyJ2IjoiMSJ9.xVJj3Ll8lPGlT_artJODiUOBJUXIXq4HrlPcm11wkJfZzLk-a90EBJrYX7qqdCTnr3Zt1cOXh6VuxvLQ7pRWblbmBXIdhdHc6WQ5Vfs9B4am4VFgRHTYm6bo4SZfeR7-0-XoT5W4WEcYzzGLHcDA2P2wOdQ26woDKmuomCZWOSDh8c3bpyvVHMRJ8P7rg9Sft4zCDdWOLAX98xcrwTO5qA.0VyCHUy4pC9daJ0WH5-i08sxQg9-LE3z2glSq-tDQVo&dib_tag=se&nsdOptOutParam=true&qid=1736270086&refinements=p_n_feature_three_browse-bin%3A15425222031%2Cp_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-13&xpid=BapcAeWRXzoze,https://m.media-amazon.com/images/I/6144VgCaH8L._AC_SX148_SY213_QL70_.jpg,15. November 2023
14,Asrai - Das Herz der Drachen: Die epische Romantasy-Saga der Spiegel-Bestseller Autorin | mit Farbschnitt-Garantie,Liane Mars,"18,00",4.6,449,https://amazon.de/Asrai-Drachen-Romantasy-Saga-Spiegel-Bestseller-Farbschnitt-Garantie/dp/3959915365/ref=mp_s_a_1_14?dib=eyJ2IjoiMSJ9.xVJj3Ll8lPGlT_artJODiUOBJUXIXq4HrlPcm11wkJfZzLk-a90EBJrYX7qqdCTnr3Zt1cOXh6VuxvLQ7pRWblbmBXIdhdHc6WQ5Vfs9B4am4VFgRHTYm6bo4SZfeR7-0-XoT5W4WEcYzzGLHcDA2P2wOdQ26woDKmuomCZWOSDh8c3bpyvVHMRJ8P7rg9Sft4zCDdWOLAX98xcrwTO5qA.0VyCHUy4pC9daJ0WH5-i08sxQg9-LE3z2glSq-tDQVo&dib_tag=se&nsdOptOutParam=true&qid=1736270086&refinements=p_n_feature_three_browse-bin%3A15425222031%2Cp_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-14&xpid=BapcAeWRXzoze,https://m.media-amazon.com/images/I/81nwHFpBS5L._AC_SX148_SY213_QL70_.jpg,8. Oktober 2024
15,Melodie der Asche: Roman | Dramatischer Fantasy-Pageturner über die schicksalhafte Liebe zweier Männer,Elya Adair,"17,99",4.6,117,https://amazon.de/sspa/click?ie=UTF8&spc=MTo4Mjk0Nzc2MTA2MTA4OTc2OjE3MzYyNzAwODY6c3BfcGhvbmVfYnJvd3NlX2J0ZjozMDA0NDIwMjgyMjUxMzI6OjA6Og&url=%2FMelodie-Asche-Dramatischer-Fantasy-Pageturner-schicksalhafte%2Fdp%2F342653035X%2Fref%3Dmp_s_a_1_15_sspa%3Fdib%3DeyJ2IjoiMSJ9.xVJj3Ll8lPGlT_artJODiUOBJUXIXq4HrlPcm11wkJfZzLk-a90EBJrYX7qqdCTnr3Zt1cOXh6VuxvLQ7pRWblbmBXIdhdHc6WQ5Vfs9B4am4VFgRHTYm6bo4SZfeR7-0-XoT5W4WEcYzzGLHcDA2P2wOdQ26woDKmuomCZWOSDh8c3bpyvVHMRJ8P7rg9Sft4zCDdWOLAX98xcrwTO5qA.0VyCHUy4pC9daJ0WH5-i08sxQg9-LE3z2glSq-tDQVo%26dib_tag%3Dse%26nsdOptOutParam%3Dtrue%26qid%3D1736270086%26refinements%3Dp_n_feature_three_browse-bin%253A15425222031%252Cp_n_binding_browse-bin%253A492558011%257C492559011%257C9330699031%26rnid%3D492557011%26s%3Dbooks%26sr%3D1-15-spons%26xpid%3DBapcAeWRXzoze%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9icm93c2VfYnRm%26psc%3D1,https://m.media-amazon.com/images/I/81sir9PkmTL._AC_SX148_SY213_QL70_.jpg,2. April 2024
16,"Das Reich der sieben Höfe – Silbernes Feuer: Roman | Romantische Fantasy der Bestsellerautorin (Das Reich der sieben Höfe-Reihe, Band 5)",Sarah J. Maas,"15,00",4.8,3875,https://amazon.de/Das-Reich-sieben-H%C3%B6fe-Bestsellerautorin/dp/3423719222/ref=mp_s_a_1_15?dib=eyJ2IjoiMSJ9.fVPVgu0LG9E8FHwEqWEgpRnUtPYoefMt3p6gAx1maXZxXGp4oRRm7fP16mgxngpHhkUY6qKOh7mhAO6kUp0BEGlVlfM6zJlvD-6gElrKTebxsfGBQG9cN5IeeIw5q4ZHci9OTfYvMlek3yyFnpTIRaRG4GFqpFBxVH5HqmYAeV-iH1DdCBYvU5qxFfotgJeRG3SkV0kVrWpsDon5vTkyHg.F6Ip0vd8sNz3fXMZ_bXkrstCtMN4s8FeNCrdcvT5L2I&dib_tag=se&nsdOptOutParam=true&qid=1736270091&refinements=p_n_feature_three_browse-bin%3A15425222031%2Cp_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-15&xpid=BapcAeWRXzoze,https://m.media-amazon.com/images/I/81EUN2h0pbL._AC_SX148_SY213_QL70_.jpg,16. November 2023
17,"Zodiac Academy: Das Erwachen (Zodiac Academy (Deutsche Ausgabe), Band 1)",Caroline Peckham,"20,32",4.5,1855,https://amazon.de/Zodiac-Academy-Erwachen-Deutsche-Ausgabe/dp/1916926207/ref=mp_s_a_1_16?dib=eyJ2IjoiMSJ9.fVPVgu0LG9E8FHwEqWEgpRnUtPYoefMt3p6gAx1maXZxXGp4oRRm7fP16mgxngpHhkUY6qKOh7mhAO6kUp0BEGlVlfM6zJlvD-6gElrKTebxsfGBQG9cN5IeeIw5q4ZHci9OTfYvMlek3yyFnpTIRaRG4GFqpFBxVH5HqmYAeV-iH1DdCBYvU5qxFfotgJeRG3SkV0kVrWpsDon5vTkyHg.F6Ip0vd8sNz3fXMZ_bXkrstCtMN4s8FeNCrdcvT5L2I&dib_tag=se&nsdOptOutParam=true&qid=1736270091&refinements=p_n_feature_three_browse-bin%3A15425222031%2Cp_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-16&xpid=BapcAeWRXzoze,https://m.media-amazon.com/images/I/7159OH0D8rL._AC_SX148_SY213_QL70_.jpg,10. Mai 2024
18,"Das Reich der sieben Höfe – Frost und Mondlicht: Roman | Romantische Fantasy der Bestsellerautorin (Das Reich der sieben Höfe-Reihe, Band 4)",Sarah J. Maas,"13,00",4.3,4147,https://amazon.de/Das-Reich-sieben-H%C3%B6fe-Bestsellerautorin/dp/342371896X/ref=mp_s_a_1_17?dib=eyJ2IjoiMSJ9.fVPVgu0LG9E8FHwEqWEgpRnUtPYoefMt3p6gAx1maXZxXGp4oRRm7fP16mgxngpHhkUY6qKOh7mhAO6kUp0BEGlVlfM6zJlvD-6gElrKTebxsfGBQG9cN5IeeIw5q4ZHci9OTfYvMlek3yyFnpTIRaRG4GFqpFBxVH5HqmYAeV-iH1DdCBYvU5qxFfotgJeRG3SkV0kVrWpsDon5vTkyHg.F6Ip0vd8sNz3fXMZ_bXkrstCtMN4s8FeNCrdcvT5L2I&dib_tag=se&nsdOptOutParam=true&qid=1736270091&refinements=p_n_feature_three_browse-bin%3A15425222031%2Cp_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-17&xpid=BapcAeWRXzoze,https://m.media-amazon.com/images/I/918mcKK4d4L._AC_SX148_SY213_QL70_.jpg,17. November 2021
19,Asrai - Die Magie der Drachen: Epische Enemies to Lovers Romantasy | mit Farbschnitt-Garantie,Liane Mars,"17,90",4.7,865,https://amazon.de/Asrai-Drachen-Epische-Romantasy-Farbschnitt/dp/3959915330/ref=mp_s_a_1_18?dib=eyJ2IjoiMSJ9.fVPVgu0LG9E8FHwEqWEgpRnUtPYoefMt3p6gAx1maXZxXGp4oRRm7fP16mgxngpHhkUY6qKOh7mhAO6kUp0BEGlVlfM6zJlvD-6gElrKTebxsfGBQG9cN5IeeIw5q4ZHci9OTfYvMlek3yyFnpTIRaRG4GFqpFBxVH5HqmYAeV-iH1DdCBYvU5qxFfotgJeRG3SkV0kVrWpsDon5vTkyHg.F6Ip0vd8sNz3fXMZ_bXkrstCtMN4s8FeNCrdcvT5L2I&dib_tag=se&nsdOptOutParam=true&qid=1736270091&refinements=p_n_feature_three_browse-bin%3A15425222031%2Cp_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-18&xpid=BapcAeWRXzoze,https://m.media-amazon.com/images/I/61u70hGqP-L._AC_SX148_SY213_QL70_.jpg,8. April 2024
