ID,Title,Author,Price,Rating,Review_Count,URL,Image_URL,Release Date
1,"Werke und Briefe. Lyrik (Englisch/Deutsch). Verserzählungen, Drama, Briefe (Deutsch): Keats, John – Literaturklassiker; deutsche Übersetzung – 9403 (Reclams Universal-Bibliothek)",Mirko Bonné,"11,80",4.7,17.0,https://amazon.de/Briefe-Englisch-Deutsch-Verserz%C3%A4hlungen-Briefe/dp/3150094038/ref=mp_s_a_1_790?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.H2OOiTQGoSxCwwhd_6-pLG4FgwO-exJE26X6cc-8kv70ennGh-gkPySAGwlmPuvQxMI6GgNt5dGmkiGkIOViW_Ef-oviIgvZCqxt73cA0WsVPYVyD0eAtRujGVUaqYOs82Th23L_5s-GvTW68K_mWkW8NAzwt9TDuzQH_BkBdgY08LBgZoQvPdu_o6AbK_5V36ro0tc2tuz5BCCY5Cb3bg._z2J8q7_Z18wfoevzEpuW6TPCDhaT1RTBgI8IEIoOGs&dib_tag=se&keywords=romantisch&nsdOptOutParam=true&qid=1736271612&refinements=p_n_feature_three_browse-bin%3A15425222031%2Cp_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-790&xpid=eYSr8hxKCgLyD,https://m.media-amazon.com/images/I/51MIdLDcyKL._AC_SX148_SY213_QL70_.jpg,1995-01-01
2,"Wiedersehen mit Vamperl: In großer Druckschrift (Das Vamperl-Reihe, Band 3)",Renate Welsh,"8,00",4.7,312.0,https://amazon.de/Wiedersehen-mit-Vamperl-Renate-Welsh/dp/3423750529/ref=mp_s_a_1_815?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.pvuhZttZs51m5ECXDbe8MAwXW_FXw62XBhgmVDpLZYZkGrNLToauBbZGlPms1Gx22qaVgVW9RAHb5qDQRsp1DJ_HJpH-t0FCnD_2WZBRDTsMFw_JlemJggd6QgTiLyHFi_VzuOJxbhDlUuk6kdIlsmOAgVdbiZun3WvYYJvpJzeYITwKMaqAjIvNMSZtzedADoUd6m0m2eJ8Wv09RGLzWg.5fKDi82CYyQfpXDyu22t-7_p2Mz7C9pk0I7WaJsujvY&dib_tag=se&keywords=romantisch&nsdOptOutParam=true&qid=1736271624&refinements=p_n_feature_three_browse-bin%3A15425222031%2Cp_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-815&xpid=eYSr8hxKCgLyD,https://m.media-amazon.com/images/I/91fDd1e2I2L._AC_SX148_SY213_QL70_.jpg,1998-07-01
3,E.T.A. Hoffmann: Das Leben eines skeptischen Phantasten,Rüdiger Safranski,"26,00",4.3,71.0,https://amazon.de/T-Hoffmann-Leben-skeptischen-Phantasten/dp/3596143012/ref=mp_s_a_1_409?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.xWEPHyyOKDIXwTvSyYsHuPg-2WGBAm7u8S-TIcNl0cmYBRYKTkvJUsafPt_Iq-gj4kTfMpNZh0kFr4fZYCytO-PVJwHdI_IUkAhsNbg3P_OQHwOC0zvJiUtQwtCHn8dw-kZAzhSBMgXliGX04_ks2_QZvP9zw0Zq-6t-5u5VXatPUluvdhNAf_je9_t7bh7xt-VG6iPA8sTx_xuyAc2e8w.9cMLoGx0kLU8_kIoiKNGUJ9AZID-5AIxhypx6EBXmVQ&dib_tag=se&keywords=romantisch&nsdOptOutParam=true&qid=1736271456&refinements=p_n_feature_three_browse-bin%3A15425222031%2Cp_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-409&xpid=eYSr8hxKCgLyD,https://m.media-amazon.com/images/I/71Dbep+1iYL._AC_SX148_SY213_QL70_.jpg,2000-09-01
4,Novalis (Beck'sche Reihe),Hermann Kurzke,,,,https://amazon.de/Novalis-Hermann-Kurzke/dp/3406459684/ref=mp_s_a_1_203?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.TmKYsXlEjm2vXZw1446AqQif4z3hLBRggWaX7Zi_IC4Mqw76BqcoCNd5yeutsEbsRfY7mN1jPeQe9qjC1kAHIYEOTf5s0n1We5trYPV6R7po0b0skusBfyHtnAe8iAB-PHztmxCUQ_3dmhPr46_rSMQIV_-I_RGgvwPt5Y1VUXJAYNU7R_PUc4c8x7qQa-CmiIoZGX8fn15IUbx1iOj0bg.juhcG1nnA08X6IMMkCH-61Bvv0oLbWNT7ATSDZ25AzE&dib_tag=se&keywords=romantisch&nsdOptOutParam=true&qid=1736271370&refinements=p_n_feature_three_browse-bin%3A15425222031%2Cp_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-203&xpid=eYSr8hxKCgLyD,https://m.media-amazon.com/images/I/41X1jeI11IL._AC_SX148_SY213_QL70_.jpg,2001-02-23
5,"Schattenkinder: Roman (Die Schattenkinder-Reihe, Band 1)",Margaret Peterson Haddix,"10,00",4.5,1113.0,https://amazon.de/Schattenkinder-Roman-Margaret-Peterson-Haddix/dp/342370635X/ref=mp_s_a_1_33?dib=eyJ2IjoiMSJ9.ps0n7y_nh7Dp49r7j5ydPzepLGetraPwTPcFg2-5l21fZn01sESw-BdX4UkNyfln6FTO_5YO1Is2aQun_Za9NipbfK6IPxwKWOl0HGRaQ_xTZ80v0WA52XiX1SqLTKmTFJxCIp6Is4XIjyZCLTtwwoTdPdCmvxJt-Y-H_xxjVIwtacE00FQ9X_Ei4deF4F9Piw1JJHdJciQ_rAGOjtQ5HQ.OkDxBCmoMIZnRKybN_W6KkS7owFlFkE4aJN_0hLwF_o&dib_tag=se&nsdOptOutParam=true&qid=1736348738&refinements=p_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031%2Cp_n_feature_three_browse-bin%3A15425222031%2Cp_n_availability%3A419126031&rnid=5452877031&s=books&sr=1-33&xpid=1-JK1OeR14wOO,https://m.media-amazon.com/images/I/71tyB1BkWEL._AC_SX148_SY213_QL70_.jpg,2002-08-01
6,Kreuz- Gänge. Romanexperimente der deutschen Romantik,Nicola Kaminski,"79,00",,,https://amazon.de/Kreuz-G%C3%A4nge-Romanexperimente-deutschen-Romantik/dp/3506742558/ref=mp_s_a_1_180?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.4EqQpP578iPWt1kRAei43JiTe8_BtSXv_7V4PRn4hSa4u5LF_o4Koz7m7-evrvHzj3QkoHzvCF0NGvJrBAIwRQ11jcqWLcHfrDgDPRZ2c6QND3gVYFFSGHJVgha3torml1vWZKpHLMVQS5SOQKHMK7sO86KKfltXZB9tM9rMUouLIkNuhcGA6r5xtmMx4XbbB9qq24vygErMOSf28GJldQ.YK-XeHc7JoMH-GXJcDtZsrJ2mSt2RSbcUgz7ugUoxcc&dib_tag=se&keywords=romantisch&nsdOptOutParam=true&qid=1736271359&refinements=p_n_feature_three_browse-bin%3A15425222031%2Cp_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-180&xpid=eYSr8hxKCgLyD,https://m.media-amazon.com/images/I/51Yx+0HRn6L._AC_SX148_SY213_QL70_.jpg,2002-11-01
7,Der Untergang: Die Chronik der Unsterblichen Band 4,Wolfgang Hohlbein,"5,99",4.5,210.0,https://amazon.de/Untergang-Die-Chronik-Unsterblichen-04/dp/354825554X/ref=mp_s_a_1_1045?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.MMLxe2kTpfolMMYbEIqR4ohnZvsf9q2ykmidrgMJuEdN53mQ1fyHXwBaKd-yKuQm_-0O_MblUItUnY1b9LtML8TPXPhQ-sqwC0WXDxf4k57HCDX5EHDs-33ELKlv9oGb1QNlhbPTPelo7rcBEsOzmPS_nx2-pVlIsQVJ2GEZY4ebKBKnvJ8CgFPXYT_Nw10Pn6KNffZH0G_xP96ictkp5w.ine_ld9Xk9Oz27AsrQS4NHrgcXriQ-LpnQMBtD1sfFc&dib_tag=se&keywords=romantisch&nsdOptOutParam=true&qid=1736271730&refinements=p_n_feature_three_browse-bin%3A15425222031%2Cp_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-1045&xpid=eYSr8hxKCgLyD,https://m.media-amazon.com/images/I/81DfmLbCmOL._AC_SX148_SY213_QL70_.jpg,2003-03-01
8,Schattenkinder. Unter Verrätern: Roman,Margaret Peterson Haddix,"8,95",4.7,112.0,https://amazon.de/Schattenkinder-Verr%C3%A4tern-Margaret-Peterson-Haddix/dp/3423707704/ref=mp_s_a_1_198?dib=eyJ2IjoiMSJ9.NR7zGisXqoegPMSWs5c0gFU5iLNq083oQbNnsEAOz39q7oM69qBFejjLkYp-l_Hbbjn2gPU9pf6K6PmUMBPbcjZz1XSDdsQXMOONtJpvCgyJJd4fM9_4vb2FoafV4NOTFw1CL--k3UgHEyrCSDs_Qdw20Stg543WhZ5v7vnjEETVTj1_fvIVJEBVMOo8CYRcm43rTcupuspGfo91gpVU4Q.KZvrxb2gyI1bJzwFLzQYfi_hs7TXxbXnZQEXfBYYcz4&dib_tag=se&nsdOptOutParam=true&qid=1736348796&refinements=p_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031%2Cp_n_feature_three_browse-bin%3A15425222031%2Cp_n_availability%3A419126031&rnid=5452877031&s=books&sr=1-198&xpid=1-JK1OeR14wOO,https://m.media-amazon.com/images/I/81PdWVqzLuL._AC_SX148_SY213_QL70_.jpg,2003-04-01
9,"Die Liebe des Highlanders (Die Highlander-Saga, Band 4)",Karen Marie Moning,,4.5,267.0,https://amazon.de/Die-Liebe-Highlanders-Highlander-Saga-Band/dp/3548256856/ref=mp_s_a_1_978?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.rvsd1tLPEmpKgFlFM57Rk2BCyydzQrjUZtcj2nZGJArDU9mjAtKlapCmTCUghqeXLqryUJ6Ypwxz8xkYtlguhzP-iBX4ZQAp6DaoWXl1vGWnykymhWWr6nJBwVqTOMpsCrx7B9J1VzP88gSRvLgtupvOQCDbHlxdYzfdX3GguEtacxRbmhWOeqrf22R9fA31iJwVrk-81EZw6z6x7c_SbA.v0DglD4t11JeGcRKmFOMtpj0ZH3p8nPZOg7bUcSxp1c&dib_tag=se&keywords=romantisch&nsdOptOutParam=true&qid=1736271695&refinements=p_n_feature_three_browse-bin%3A15425222031%2Cp_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031&rnid=492557011&s=books&sr=1-978&xpid=eYSr8hxKCgLyD,https://m.media-amazon.com/images/I/711ceEMnwIL._AC_SX148_SY213_QL70_.jpg,2003-06-01
10,Schattenkinder. Die Betrogenen,Margaret Peterson Haddix,"10,00",4.8,75.0,https://amazon.de/Schattenkinder-Betrogenen-Margaret-Peterson-Haddix/dp/3423707887/ref=mp_s_a_1_315?dib=eyJ2IjoiMSJ9.1GAPhfZivbRoveI_wgH6AxbIzkwXt8fhTC_xEQlDCkNSYmpvvvy7D04ShQbNyGYusIb7wywFxvzN-ipCVNhX8OenS_6LbR_4N2-0DOn1Z-w0ySKCo5LqvG6mn92NV8s2s4D9ZL9PvxjOxgVCYAw3SYpa3Vnvrza5V1-1qybj70wRy15sKWNjTdbNsyMkPviM54FdfXU7h_AlWJLJJzMTpw.Mw9Pi_Rru-bKaF97WWHumc6F2wo_oowh-9ndh079OKg&dib_tag=se&nsdOptOutParam=true&qid=1736348836&refinements=p_n_binding_browse-bin%3A492558011%7C492559011%7C9330699031%2Cp_n_feature_three_browse-bin%3A15425222031%2Cp_n_availability%3A419126031&rnid=5452877031&s=books&sr=1-315&xpid=1-JK1OeR14wOO,https://m.media-amazon.com/images/I/81KCSlVlp-L._AC_SX148_SY213_QL70_.jpg,2003-07-01
